date;title;image;descriptionIn;starChosen;category;location;numberPeople;duration;whatYouNeed;postMessage;testMode;push
<<<<<<< HEAD
2020-08-25T09:00:00Z;Gamescom 2020;gamescom.jpg;Die Gamescom 2020 wird dieses Jahr ausschließlich digital stattfinden. Aktuell arbeiten die Veranstalter an einem Format, um die besten Spiele gemeinsam feiern zu können. Verbindet euch mit Freunden zum Videochat und seid dabei!;False;Digital Events@StayAtHome;Online;1+ Personen;4 Tage;"eine stabile Internetverbindung; am besten einige Freunde ";Viva Gamescom!;False;False
jederzeit;Lerne Tanzen;dance.jpg;Hast du schon immer davon geträumt ein großer Tänzer oder eine Tänzerin zu sein? Nutze die Langeweile zu Hause und Lerne über das Internet Tanzen. Ob Einzeltänzer oder Gesselschaftstanz. Zahlreiche Videos auf Youtube helfen dir dabei. ;False;Productive@StayAtHome;zu Hause;1+ Personen;ab 30 Minuten;"einen Youtube Channel der deinen Tanzstil lehrt; Sportliche Kleidung; Platz zum Tanzen";Let's dance mate!;False;False
jederzeit;Schreibe einen Blog;glasses.jpg;"Teile deine Gedanken, Ideen oder dein Wissen über deinen eigenen Blog. Die aktuelle Zeit der Langeweile bietet dir eine optimale Möglichkeit einzusteigen. Schreibe einfach mal einen ersten Blogpost und teile ihn in deiner Community. Du fragst dich wie geht das? Mit Anbietern, wie  <a href""https://wordpress.com/"">wordpress</a> kannst du einen Account erstellen und deinen Blog online bringen. ";False;Productive@StayAtHome;zu Hause;nur du;2+ Stunden;"ein Thema: eine Idee, Wissen, Philosophie, Gedanken, Humorvolles, … ; einen Account bei einem Onlineanbieter für Blogs (z.B. wordpress)";Verwirkliche dich endlich!;False;False
jederzeit;Lerne ein Instrument;instruments.jpg;Musik ist ein Ventil für die Seele sagt man. Lerne ein Instrument spielen. Lass deiner Kreativität freien Lauf, verwirkliche dich selbst und verbessere deine Konzentrationsfähigkeit. Geh zum lokalen Musikshop und finde heraus welches Instrument dir am Besten gefällt. Kaufe dir ein Einsteigerlehrbuch dafür und leg los.;False;Productive@StayAtHome;zu Hause;nur du;2+ Stunden;"kaufe ein Instrument im lokalen Musikshop; besorg dir ein passendes Lehrbuch; Nutze gratis online Angebote und Musikprogramme, wie z.B. <a href=""https://www.guitar-pro.com"">Guitar Pro</a>";Go bro!;False;False
jederzeit;Bastle ein Vogelhaus;vogelhaus.jpg;"Starte dein handwerkliches Hobby mit einem einfachen Projekt. Baue z.B. ein Vogelhaus und bringe es auf deinem Balkon oder in deinem Garten an. Anleitungen findest du online (z.B. <a href=""https://www.selbst.de/vogelhaus""> hier</a>) und Materialien gibt es im Baumarkt.";False;Productive@StayAtHome;zu Hause;nur du;2+ Stunden;"eine Anleitung (z.B. <a href=""https://www.selbst.de/vogelhaus""> hier</a>); Materialien, wie sie in der Anleitung zu finden sind (Holzplatten, Laim, etc. )";Gut Holz!;False;False
jederzeit;Mache eine Online Kurs;onlinekurs.jpg;Verbessere deine Skills oder lerne neue Skills auf online Plattformen (z.B. Udacity, Udemy oder edx). Eröffne dir neue Perspektiven und Karrierewege, denn immer öfter sind diese Kurse von Arbeitgebern anerkannt und gerne gesehen.;False;Productive@StayAtHome;zu Hause;nur du;6+ Stunden (verteilt);"einen passenden Onlinekurs. Diesen findest du bei Anbietern, wie <a href=""https://www.udacity.com/"">Udacity</a> oder <a href=""https://www.udemy.com/"">Udemy</a>";;False;False
jederzeit;Online Karaoke;karaoke.jpg;Lade über S'arvo deine Freunde zum online Karaoke ein. Trefft euch zum Videochat mit Freunden und singt abwechselnd einen Song. Findet die Texte zu euren Liedern online und los gehts!;False;Keep in Touch@StayAtHome;Online;2+ Personen;2+ Stunden;"Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...); Songtexte (z.B. <a href=""https://www.lyrics.com/"">lyrics.com</a>) und Lautsprecher mit Musik (z.B. Youtube, Spotify, ...)";Sing it out!;False;False
jederzeit;Trinkspielchen;bierglas.jpg;"Spielt ein online Trinkspiel. Viele Anbieter haben das Zeichen der Zeit erkannt und Ihr bestes gegeben, um euch mit Online Angeboten zu versorgen. Testet die Spiele von <a href=""https://psycatgames.com/de/app/picolo/"">Picolo</a> oder wer es derber mag <a href=""http://isauf.net/index.php"">isauf.net</a>. ";False;Keep in Touch@StayAtHome;Online;2+ Personen;2+ Stunden;"Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...);E twas booze für euch und eure Mitbewohner; Ein Trinkspiel auf das ihr euch einigt";Guten Durst!;False;False
jederzeit;Diskussionsrunde;discuss.jpg;"Vereinbart mit euren Freunden ein Treffen, um exakt 15 Minuten über ein Thema zu diskutieren. Definiert 4 Themenfelder bevor ihr euch trefft. Überlegt euch im vorhinein euren Standpunkt zum Thema und vergleicht eure Sichtweisen. Wärmt euch bei einem Gläschen vorher gerne auf und quatscht etwas, um auf Betriebstemparatur zu kommen ;) Lernt Themen kennen, öffnet eure Weltanschauung und erlebt neues!";False;Keep in Touch@StayAtHome;Online;2-3 Personen;2+ Stunden;"Mikrofon (optional auch ein Headset), Internet und einen Provider (Zoom, Skype, Teams, ...); Vier Themen die ihr vereinbart; Vorbereitung auf die 4 Themen; einen Moderator der Gesprächszeiten überwacht und bestimmt wer spricht";;False;False
